STATEFP,NAMELSAD,COMPETITIVE,state,Incumbent affiliation,Runners_D,Runners_R,Leans,Competitiveness
36,Congressional District 1,1,NY,Republican,"Nancy Goroff, Jim Gaughran",Nick LaLota,NA,10
42,Congressional District 10,1,PA,Republican,Janelle Stelson,Scott Perry,NA,15
1,Congressional District 2,1,AL,NA,Shomari Figures,Caroleene Dobson,NA,20
4,Congressional District 1,1,AZ,Republican,"Conor O'Callaghan, Andrei Cherny, Amish Shah",David Schweiker,NA,13
53,Congressional District 3,1,WA,Democratic,Marie Gluesenkamp Perez,Joe Kent,NA,23
55,Congressional District 8,1,WI,NA,Kristin Lyerly ,"André Jacque, Roger Roth, TOny Wied",NA,8
6,Congressional District 27,1,CA,Republican,George Whitesides,Mike Garcia,Democratic,7
6,Congressional District 13,1,CA,Republican,Adam Gray,John Duarte,Democratic,4
6,Congressional District 45,1,CA,Republican,Derek Tran,Michelle Steel,Democratic,5
6,Congressional District 40,1,CA,Republican,Joe Kerr,Young Kim,Democratic,3
36,Congressional District 22,1,NY,Republican,NA,Brandon Williams,Democratic,2
36,Congressional District 4,1,NY,Republican,NA,Anthony D’Esposito,Democratic,1
36,Congressional District 17,1,NY,Republican,NA,Mike Lawler,Democratic,18
36,Congressional District 19,1,NY,Republican,NA,Marc Molinaro,Democratic,24
34,Congressional District 7,1,NJ,Republican,Susan Altman,Tom Kean,Democratic,20
41,Congressional District 5,1,OR,Republican,NA,Lori Chavez-ReRemer,Democratic,16
4,Congressional District 6,1,AZ,Republican,NA,Juan Ciscomani,NA,23
31,Congressional District 2,1,NE,Republican,Tony Vargas,NA,NA,12
42,Congressional District 1,1,PA,Republican,Ashley Ehasz,Brian Fitzpatrick,NA,16
51,Congressional District 2,1,VA,Republican,NA,Jen Kiggans,NA,18
39,Congressional District 9,1,OH,Democratic,Marcy Kaptur,Derek Merrin,NA,19
23,Congressional District 2,1,ME,Democratic,Jared Golden,NA,NA,14
42,Congressional District 8,1,PA,Democratic,Matt Cartwright,Rob Bresnahan Jr. ,NA,20
