state,congress,s_upper,s_lower,state_name,race_type,election_name,voter_power,D_running,R_running,cook_rating
01,,,,Alabama,Aggregate,Presidential,7,Kamala Harris,Donald Trump,solid-R
02,,,,Alaska,Aggregate,Presidential,67,Kamala Harris,Donald Trump,solid-R
04,,,,Arizona,Aggregate,Presidential,80,Kamala Harris,Donald Trump,toss-up
05,,,,Arkansas,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
06,,,,California,Aggregate,Presidential,67,Kamala Harris,Donald Trump,solid-D
08,,,,Colorado,Aggregate,Presidential,13,Kamala Harris,Donald Trump,solid-D
09,,,,Connecticut,Aggregate,Presidential,2.0,Kamala Harris,Donald Trump,solid-D
10,,,,Delaware,Aggregate,Presidential,7,Kamala Harris,Donald Trump,solid-D
11,,,,District of Columbia,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-D
12,,,,Florida,Aggregate,Presidential,33,Kamala Harris,Donald Trump,likely-R
13,,,,Georgia,Aggregate,Presidential,7,Kamala Harris,Donald Trump,toss-up
15,,,,Hawaii,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-D
16,,,,Idaho,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
17,,,,Illinois,Aggregate,Presidential,7,Kamala Harris,Donald Trump,solid-D
18,,,,Indiana,Aggregate,Presidential,13,Kamala Harris,Donald Trump,solid-R
19,,,,Iowa,Aggregate,Presidential,20,Kamala Harris,Donald Trump,solid-R
20,,,,Kansas,Aggregate,Presidential,60,Kamala Harris,Donald Trump,solid-R
21,,,,Kentucky,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
22,,,,Louisiana,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
23,,,,Maine,Aggregate,Presidential,20,Kamala Harris,Donald Trump,likely-D
23,2.0,,,Maine,Aggregate,Congressional District 2,20,Kamala Harris,Donald Trump,likely-R
23,1.0,,,Maine,Aggregate,Congressional District 1,20,Kamala Harris,Donald Trump,solid-D
24,,,,Maryland,Aggregate,Presidential,7,Kamala Harris,Donald Trump,solid-D
25,,,,Massachusetts,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-D
26,,,,Michigan,Aggregate,Presidential,67,Kamala Harris,Donald Trump,toss-up
27,,,,Minnesota,Aggregate,Presidential,40,Kamala Harris,Donald Trump,likely-D
28,,,,Mississippi,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
29,,,,Missouri,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
30,,,,Montana,Aggregate,Presidential,20,Kamala Harris,Donald Trump,solid-R
31,1.0,,,Nebraska,Aggregate,Congressional District 1,40,Kamala Harris,Donald Trump,solid-R
31,2.0,,,Nebraska,Aggregate,Congressional District 2,40,Kamala Harris,Donald Trump,toss-up
31,3.0,,,Nebraska,Aggregate,Congressional District 3,40,Kamala Harris,Donald Trump,solid-R
31,,,,Nebraska,Aggregate,Presidential,40,Kamala Harris,Donald Trump,solid-R
32,,,,Nevada,Aggregate,Presidential,60,Kamala Harris,Donald Trump,toss-up
33,,,,New Hampshire,Aggregate,Presidential,53,Kamala Harris,Donald Trump,likely-D
34,,,,New Jersey,Aggregate,Presidential,7,Kamala Harris,Donald Trump,solid-D
35,,,,New Mexico,Aggregate,Presidential,20,Kamala Harris,Donald Trump,likely-D
36,,,,New York,Aggregate,Presidential,47,Kamala Harris,Donald Trump,solid-D
37,,,,North Carolina,Aggregate,Presidential,13,Kamala Harris,Donald Trump,toss-up
38,,,,North Dakota,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
39,,,,Ohio,Aggregate,Presidential,27,Kamala Harris,Donald Trump,solid-R
40,,,,Oklahoma,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
41,,,,Oregon,Aggregate,Presidential,20,Kamala Harris,Donald Trump,solid-D
42,,,,Pennsylvania,Aggregate,Presidential,100,Kamala Harris,Donald Trump,toss-up
44,,,,Rhode Island,Aggregate,Presidential,13,Kamala Harris,Donald Trump,solid-D
45,,,,South Carolina,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
46,,,,South Dakota,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
47,,,,Tennessee,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
48,,,,Texas,Aggregate,Presidential,33,Kamala Harris,Donald Trump,likely-R
49,,,,Utah,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
50,,,,Vermont,Aggregate,Presidential,7,Kamala Harris,Donald Trump,solid-D
51,,,,Virginia,Aggregate,Presidential,20,Kamala Harris,Donald Trump,likely-D
53,,,,Washington,Aggregate,Presidential,20,Kamala Harris,Donald Trump,solid-D
54,,,,West Virginia,Aggregate,Presidential,0,Kamala Harris,Donald Trump,solid-R
55,,,,Wisconsin,Aggregate,Presidential,80,Kamala Harris,Donald Trump,toss-up
56,,,,Wyoming,Aggregate,Presidential,7,Kamala Harris,Donald Trump,solid-R
