state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power,cook_rating,pivotal election?,structural initiative?,liberties initiative?,ballot type,D_running,R_running,I_independent ,D_link,R_link,I_link,"Margins
(DRA/polls)",Margins (CON22),Margin (Averages),VP w/ avg margins
Alabama,01,02,nan,nan,Congressional District 2,House,16.0,likely-D,,,,,Shomari Figures,Caroleene Dobson,,https://www.figuresforcongress.com/,https://www.dobsonforcongress.com/,,11.0,8.4,9.7,0.1
Alaska,02,at-large,nan,nan,Congressional District (at Large),House,84.0,toss-up,,,,,Mary Peltola (incumbent),Nicholas Begich,,https://marypeltola.com/,https://www.alaskansfornickbegich.com/,,-4.0,10.0,3.0,0.3
Arizona,04,01,nan,nan,Congressional District 1,House,94.0,toss-up,,,,,Amish Shah,David Schweikert (incumbent),,https://www.amishforarizona.com/,https://electiondeniers.org/,,0.5,-0.8,-0.2,0.3
Arizona,04,06,nan,nan,Congressional District 6,House,63.0,toss-up,,,,,Kirsten Engel,Juan Ciscomani (incumbent),,https://www.engelforarizona.com/,https://juanciscomani.com/,,-3.8,-1.0,-2.4,0.2
California,06,47,nan,nan,Congressional District 47,House,97.0,lean-D,,,,,Dave Min,Scott Baugh,,https://davemin.com/,https://baughforcongress.com/,,-3.0,3.4,0.2,0.3
California,06,45,nan,nan,Congressional District 45,House,78.0,toss-up,,,,,Derek Tran,Michelle Steel (incumbent),,https://www.derektranforcongress.com/,https://michellesteelca.com/,,2.0,-4.8,-1.4,0.3
California,06,09,nan,nan,Congressional District 9,House,16.0,likely-D,,,,,Josh Harder (incumbent),Kevin Lincoln II,,https://harderforcongress.com/,https://www.kevinlincolnforcongress.com/,,10.0,9.6,9.8,0.1
California,06,49,nan,nan,Congressional District 49,House,44.0,likely-D,,,,,Mike Levin (incumbent),Matt Gunderson,,https://wp.mikelevin.org/,https://mattgunderson.com/,,6.5,5.2,5.9,0.2
California,06,03,nan,nan,Congressional District 3,House,18.0,likely-R,,,,,Jessica Morse,Kevin Kiley (incumbent),,https://www.morseforcongress.com/,https://electkevinkiley.com/,,-7.5,-7.2,-7.4,0.1
California,06,40,nan,nan,Congressional District 40,House,11.0,likely-R,,,,,Joe Kerr,Young Kim (incumbent),,https://www.joekerrforcongress.com/,https://youngkimforcongress.com/,,-5.0,-13.6,-9.3,0.0
California,06,13,nan,nan,Congressional District 13,House,98.0,toss-up,,,,,Adam Gray,John Duarte (incumbent),,https://www.adamgrayforcongress.com/,https://www.johnduarteforcongress.com/,,1.0,-0.4,0.3,0.3
California,06,22,nan,nan,Congressional District 22,House,84.0,toss-up,,,,,Rudy Salas,David G. Valadao (incumbent),,https://www.rudysalas.com/,https://valadaoforcongress.com/,,1.0,-3.0,-1.0,0.3
California,06,27,nan,nan,Congressional District 27,House,66.0,toss-up,,,,,George Whitesides,Mike Garcia (incumbent),,https://www.georgewhitesides.com/,https://electiondeniers.org/,,2.0,-6.4,-2.2,0.2
California,06,41,nan,nan,Congressional District 41,House,64.0,toss-up,,,,,Will Rollins,Ken Calvert (incumbent),,https://willrollinsforcongress.com/,https://electiondeniers.org/,,0.0,-4.6,-2.3,0.2
Colorado,08,03,nan,nan,Congressional District 3,House,35.0,likely-R,,,,,Adam Frisch,Jeff Hurd,,https://adamforcolorado.com/,https://jeffhurdforcolorado.com/,,-9.3,-0.2,-4.8,0.1
Colorado,08,08,nan,nan,Congressional District 8,House,100.0,toss-up,,,,,Yadira Caraveo (incumbent),Gabe Evans,,https://www.caraveoforcongress.com/,https://electgabeevans.com/,,1.5,0.7,1.1,0.4
Connecticut,09,05,nan,nan,Congressional District 5,House,96.0,lean-D,,,,,Jahana Hayes (incumbent),George Logan,,https://jahanahayes.com/,https://georgeloganforcongress.com/,,3.0,0.8,1.9,0.3
Florida,12,09,nan,nan,Congressional District 9,House,7.0,likely-D,,,,,Darren Soto (incumbent),Thomas Chalifoux,,https://www.darrensoto.com/,https://thomaschalifoux.com/,,19.5,7.2,13.4,0.0
Florida,12,23,nan,nan,Congressional District 23,House,17.0,likely-D,,,,,Jared Evan Moskowitz (incumbent),Joe Kaufman,,https://jaredforflorida.com/,https://kaufmanforcongress.com/,,14.2,4.8,9.5,0.1
Florida,12,13,nan,nan,Congressional District 13,House,28.0,likely-R,,,,,Whitney Fox,Anna Paulina Luna (incumbent),,https://whitneyfoxforcongress.com/,https://www.voteannapaulina.com/,,-3.0,-8.0,-5.5,0.1
Illinois,17,17,nan,nan,Congressional District 17,House,48.0,lean-D,,,,,Eric Sorenson (incumbent),Joseph G. McGraw,,https://www.ericforillinois.com/,https://judgejoeforcongress.com/,,7.0,4.0,5.5,0.2
Indiana,18,01,nan,nan,Congressional District 1,House,13.0,lean-D,,,,,Frank Mrvan (incumbent),Randell Niemeyer,,https://mrvanforcongress.com/,https://www.niemeyerforcongress.com/,,15.5,5.6,10.6,0.0
Iowa,19,03,nan,nan,Congressional District 3,House,99.0,lean-R,,,,,Lanon Baccam,Zach Nunn (incumbent),,https://lanonbaccam.com/,https://zachnunn.com/,,3.5,-0.7,1.4,0.4
Iowa,19,01,nan,nan,Congressional District 1,House,63.0,lean-R,,,,,Christina Bohannan,Mariannette Millter-Meeks (incumbent),,https://www.bohannanforcongress.com/,https://drmillermeeks.com/,,2.0,-6.8,-2.4,0.2
Kansas,20,03,nan,nan,Congressional District 3,House,41.0,likely-D,,,,,Sharice Davids (incumbent),Prasanth Reddy,,https://shariceforcongress.com/,https://reddyforkansas.com/,,0.1,12.1,6.1,0.1
Maine,23,02,nan,nan,Congressional District 2,House,95.0,toss-up,,,,,Jared Golden (incumbent),Austin Theriault,,https://jaredgoldenforcongress.com/,https://www.austinformaine.com/,,-2.0,6.2,2.1,0.3
Maryland,24,06,nan,nan,Congressional District 6,House,73.0,likely-D,,,,,April McClain-Delaney,Neil Parrott,,https://www.aprilmcclaindelaneyforcongress.com/,https://electiondeniers.org/,,-2.0,9.5,3.8,0.3
Michigan,26,10,nan,nan,Congressional District 10,House,73.0,lean-R,,,,,Carl Marlinga,John James (incumbent),,https://www.marlinga4congress.com/,https://johnjamesmi.com/,,-3.0,-0.5,-1.8,0.3
Michigan,26,03,nan,nan,Congressional District 3,House,23.0,likely-D,,,,,Hillary Scholten (incumbent),Paul Hudson,,https://hillaryscholten.com/,,,3.6,12.9,8.3,0.1
Michigan,26,07,nan,nan,Congressional District 7,House,97.0,toss-up,,,,,Curtis Hertel,Tom Barrett,,https://www.hertelformichigan.com/,https://electiondeniers.org/,,-5.0,5.4,0.2,0.3
Michigan,26,08,nan,nan,Congressional District 8,House,59.0,toss-up,,,,,Kristen McDonald Rivet,Paul Junge,,https://kristenmcdonaldrivet.com/,https://www.pauljunge.com/,,-1.0,10.3,4.7,0.2
Minnesota,27,02,nan,nan,Congressional District 2,House,35.0,lean-D,,,,,Angie Craig (incumbent),Joe Teirab,,https://angiecraig.com/,https://www.joeformn2.com/,,8.0,5.3,6.7,0.1
Montana,30,01,nan,nan,Congressional District 1,House,50.0,likely-R,,,,,Monica Tranel,Ryan K. Zinke (incumbent),,https://www.monicatranel.com/,https://electiondeniers.org/,,-3.5,-3.1,-3.3,0.2
Nebraska,31,02,nan,nan,Congressional District 2,House,98.0,toss-up,,,,,Tony Vargas,Don Bacon (incumbent),,https://www.vargasfornebraska.com/,https://donjbacon.com/,,6.0,-2.6,1.7,0.3
Nevada ,32,03,nan,nan,Congressional District 3,House,22.0,lean-D,,,,,Susie Lee (incumbent),Drew Johnson,,https://susieleeforcongress.com/,https://drewfornevada.com/,,13.0,4.0,8.5,0.1
