state,congress,s_upper,s_lower,state_name,race_type,election_name,voter_power,D_running,R_running,cook_rating,name of ballot,ballot_type,source,ballot notes,description,dropdown type,get involved link,supporting organization link
01,,,,Alabama,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
02,,,,Alaska,Presidential,Presidential,21.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
04,,,,Arizona,Presidential,Presidential,67.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
05,,,,Arkansas,Presidential,Presidential,5.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
06,,,,California,Presidential,Presidential,1.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
08,,,,Colorado,Presidential,Presidential,6.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
09,,,,Connecticut,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
10,,,,Delaware,Presidential,Presidential,4.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
11,,,,District of Columbia,Presidential,Presidential,0.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
12,,,,Florida,Presidential,Presidential,47.0,Kamala Harris,Donald Trump,likely-R,,,,,,,,
13,,,,Georgia,Presidential,Presidential,85.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
15,,,,Hawaii,Presidential,Presidential,5.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
16,,,,Idaho,Presidential,Presidential,1.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
17,,,,Illinois,Presidential,Presidential,3.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
18,,,,Indiana,Presidential,Presidential,3.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
19,,,,Iowa,Presidential,Presidential,15.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
20,,,,Kansas,Presidential,Presidential,5.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
21,,,,Kentucky,Presidential,Presidential,1.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
22,,,,Louisiana,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
23,,,,Maine,Presidential,Presidential,14.0,Kamala Harris,Donald Trump,likely-D,,,,,,,,
23,2.0,,,Maine,Presidential,Congressional District 2,61.0,Kamala Harris,Donald Trump,likely-R,,,,,,,,
23,1.0,,,Maine,Presidential,Congressional District 1,1.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
24,,,,Maryland,Presidential,Presidential,1.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
25,,,,Massachusetts,Presidential,Presidential,1.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
26,,,,Michigan,Presidential,Presidential,62.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
27,,,,Minnesota,Presidential,Presidential,17.0,Kamala Harris,Donald Trump,likely-D,,,,,,,,
28,,,,Mississippi,Presidential,Presidential,4.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
29,,,,Missouri,Presidential,Presidential,6.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
30,,,,Montana,Presidential,Presidential,5.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
31,1.0,,,Nebraska,Presidential,Congressional District 1,5.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
31,2.0,,,Nebraska,Presidential,Congressional District 2,8.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
31,3.0,,,Nebraska,Presidential,Congressional District 3,0.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
31,,,,Nebraska,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
32,,,,Nevada,Presidential,Presidential,100.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
33,,,,New Hampshire,Presidential,Presidential,17.0,Kamala Harris,Donald Trump,likely-D,,,,,,,,
34,,,,New Jersey,Presidential,Presidential,3.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
35,,,,New Mexico,Presidential,Presidential,19.0,Kamala Harris,Donald Trump,likely-D,,,,,,,,
36,,,,New York,Presidential,Presidential,4.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
37,,,,North Carolina,Presidential,Presidential,69.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
38,,,,North Dakota,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
39,,,,Ohio,Presidential,Presidential,7.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
40,,,,Oklahoma,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
41,,,,Oregon,Presidential,Presidential,3.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
42,,,,Pennsylvania,Presidential,Presidential,69.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
44,,,,Rhode Island,Presidential,Presidential,11.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
45,,,,South Carolina,Presidential,Presidential,6.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
46,,,,South Dakota,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
47,,,,Tennessee,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
48,,,,Texas,Presidential,Presidential,19.0,Kamala Harris,Donald Trump,likely-R,,,,,,,,
49,,,,Utah,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
50,,,,Vermont,Presidential,Presidential,2.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
51,,,,Virginia,Presidential,Presidential,15.0,Kamala Harris,Donald Trump,likely-D,,,,,,,,
53,,,,Washington,Presidential,Presidential,4.0,Kamala Harris,Donald Trump,solid-D,,,,,,,,
54,,,,West Virginia,Presidential,Presidential,1.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
55,,,,Wisconsin,Presidential,Presidential,43.0,Kamala Harris,Donald Trump,toss-up,,,,,,,,
56,,,,Wyoming,Presidential,Presidential,1.0,Kamala Harris,Donald Trump,solid-R,,,,,,,,
04,,,,Arizona,Senate,,41.0,Ruben Gallego,Kari Lake,lean-D,,,,,,,,
06,,,,California,Senate,,1.0,Adam Schiff,Steve Garvey,solid-D,,,,,,,,
09,,,,Connecticut,Senate,,5.0,Christopher S. Murphy (incumbent),Matthew Corey,solid-D,,,,,,,,
10,,,,Delaware,Senate,,16.0,Lisa Blunt Rochester,Eric Hansen,solid-D,,,,,,,,
12,,,,Florida,Senate,,14.0,Debbie Mucarsel-Powell,Rick Scott (incumbent),likely-R,,,,,,,,
15,,,,Hawaii,Senate,,5.0,Mazie K. Hirono (incumbent),Bob McDermott,solid-D,,,,,,,,
18,,,,Indiana,Senate,,6.0,Valerie McCray,Jim Banks,solid-R,,,,,,,,
23,,,,Maine,Senate,,6.0,,Demi Kouzounas,solid-D,,,,,,,,
24,,,,Maryland,Senate,,3.0,Angela Alsobrooks,Larry Hogan,likely-D,,,,,,,,
25,,,,Massachusetts,Senate,,1.0,Elizabeth Warren (incumbent),John Deaton,solid-D,,,,,,,,
26,,,,Michigan,Senate,,36.0,Elissa Slotkin,Mike Rogers,toss-up,,,,,,,,
27,,,,Minnesota,Senate,,2.0,Amy Klobuchar (incumbent),Royce White,solid-D,,,,,,,,
28,,,,Mississippi,Senate,,8.0,Ty Pinkins,Roger Wicker (incumbent),solid-R,,,,,,,,
29,,,,Missouri,Senate,,5.0,Lucas Kunce,Josh Hawley (incumbent),solid-R,,,,,,,,
30,,,,Montana,Senate,,34.0,Jon Tester (incumbent),Tim Sheehy,lean-R,,,,,,,,
31,,,,Nebraska,Senate,,77.0,,Deb Fischer (incumbent),solid-R,,,,,,,,
32,,,,Nevada,Senate,,100.0,Jacky Rosen (incumbent),Sam Brown,lean-D,,,,,,,,
34,,,,New Jersey,Senate,,7.0,Andy Kim,Curtis Bashaw,solid-D,,,,,,,,
