state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power,cook_rating,pivotal election?,structural initiative?,liberties initiative?,ballot type,D_running,R_running,I_running,I_running.1,I_running.2,I_running.3,I_running.4,I_running.5,L_running,G_running,Write_in,D_link,R_link,I_link,I_link.1,I_link.2,I_link.3,I_link.4,I_link.5,L_link,G_link,Write-in link,Competitive,turnout2020,Poll Margins,Pres20 or Sen18,vp (unnorm)
Arizona,04,nan,nan,nan,,Senate,45.0,lean-D,,,,,Ruben Gallego,Kari Lake,,waiting on primary,waiting on primary,waiting on primary,,,waiting on primary,waiting on primary,,https://gallegoforarizona.com/,https://electiondeniers.org/,,waiting on primary,waiting on primary,waiting on primary,,,waiting on primary,waiting on primary,,1.0,"3,387,326.0",4.2,0.3,93.7
California,06,nan,nan,nan,,Senate,0.0,solid-D,,,,,Adam Schiff,Steve Garvey,,,,,,,,,,https://www.adamschiff.com/,https://stevegarvey.com/,,,,,,,,,,1.0,"17,501,380.0",11.1,29.0,0.5
Connecticut,09,nan,nan,nan,,Senate,2.0,solid-D,,,,,Christopher S. Murphy (incumbent),Matthew Corey,,,,,,,,,,https://chrismurphy.com/,https://coreyforsenate.com/,,,,,,,,,,1.0,"1,823,857.0",20.2,20.0,4.9
Delaware,10,nan,nan,nan,,Senate,7.0,solid-D,,,,,Lisa Blunt Rochester,Eric Hansen,,,,,,,,,,https://lisabluntrochester.com/,https://voteerichansen.com/,,,,,,,,,,1.0,"504,346.0",24.5,19.0,14.8
Florida,12,nan,nan,nan,,Senate,3.0,likely-R,,,,,Debbie Mucarsel-Powell,Rick Scott (incumbent),,Ben Everidge,Tuan Nguyen,Howard Knepper,,,Feena Bonoan,,,https://www.debbieforflorida.com/,https://electiondeniers.org/,,Unknown,https://letsbe-american.com/,Unknown,,,https://www.feenabonoan.com/,,,1.0,"11,067,456.0",-5.6,-0.1,7.1
Hawaii,15,nan,nan,nan,,Senate,2.0,solid-D,,,,,Mazie K. Hirono (incumbent),Bob McDermott,,waiting on primary,waiting on primary,waiting on primary,,,waiting on primary,waiting on primary,,https://mazieforhawaii.com/,https://votemcdermott.com/,,waiting on primary,waiting on primary,waiting on primary,,,waiting on primary,waiting on primary,,1.0,"574,469.0",42.2,29.5,4.4
Indiana,18,nan,nan,nan,,Senate,2.0,solid-R,,,,,Valerie McCray,Jim Banks,,Richard Kent,,,,,Andy Horning,,,https://valeriemccray.org/,https://electiondeniers.org/,,Unknown,,,,,https://horningforsenate.com/,,,1.0,"3,033,210.0",-10.0,-16.0,3.8
Maine,23,nan,nan,nan,,Senate,2.0,solid-D,,,,,,Demi Kouzounas,Angus King (incumbent),Jason Cherry,,,,,,,,,https://demiforsenate.com/,https://angusformaine.com/,https://cherryforsenate.com/,,,,,,,,1.0,"819,461.0",29.0,29.0,4.9
Maryland,24,nan,nan,nan,,Senate,1.0,likely-D,,,,,Angela Alsobrooks,Larry Hogan,,,,,,,Mike Scott,Nancy Wallace,,https://www.angelaalsobrooks.com/,https://larryhogan.com/,,,,,,,https://www.mikescott2024.com/,Unknown,,1.0,"3,037,030.0",11.0,33.0,2.4
Massachusetts,25,nan,nan,nan,,Senate,1.0,solid-D,,,,,Elizabeth Warren (incumbent),John Deaton,,Brandon James Griffin (Workers Party),Shiva Ayyadurai,,,,,,,https://elizabethwarren.com/,https://johndeatonforsenate.com/,,Unknown,Unknown,,,,,,,1.0,"3,631,402.0",25.0,33.0,1.1
