state_name,state,congress,s_upper,s_lower,election_name,race_type,margins,vp,voter_power,D_running,D_running_2,R_running,R_running_2,R_running_3,D_link,D_link_2,R_link,R_link_2,R_link_3
Alaska,02,nan,nan,001,State House District 1,State Leg (Lower),-17.0,0.1,26.0,,,,,,,,,,
Alaska,02,nan,nan,002,State House District 2,State Leg (Lower),6.6,0.3,75.0,,,,,,,,,,
Alaska,02,nan,nan,003,State House District 3,State Leg (Lower),11.8,0.2,46.0,,,,,,,,,,
Alaska,02,nan,nan,004,State House District 4,State Leg (Lower),36.0,0.0,5.0,,,,,,,,,,
Alaska,02,nan,nan,005,State House District 5,State Leg (Lower),-6.9,0.3,73.0,,,,,,,,,,
Alaska,02,nan,nan,006,State House District 6,State Leg (Lower),-10.3,0.2,53.0,,,,,,,,,,
Alaska,02,nan,nan,007,State House District 7,State Leg (Lower),-44.9,0.0,3.0,,,,,,,,,,
Alaska,02,nan,nan,008,State House District 8,State Leg (Lower),-46.6,0.0,2.0,,,,,,,,,,
Alaska,02,nan,nan,009,State House District 9,State Leg (Lower),-5.2,0.3,83.0,Ky Holland (independent),,Lucy Bauer,,,https://www.alaskansforkyholland.com/,,https://bauerforalaska.com/,https://www.ellisforalaska.com/,https://www.brandyforalaska.com/
Alaska,02,nan,nan,010,State House District 10,State Leg (Lower),-8.2,0.2,65.0,,,Craig Johnson (incumbent),Charles Kopp,,,,https://www.craig4alaska.com/,https://chuckkopp.com/,
Alaska,02,nan,nan,011,State House District 11,State Leg (Lower),-11.77467175,0.2,46.0,,,,,,,,,,
Alaska,02,nan,nan,012,State House District 12,State Leg (Lower),-0.661469407,0.4,100.0,Calvin Schrage (incumbent),,Joseph Lurtsema,,,https://www.calvinforalaska.com/,,https://lurtsemaforalaska.com/,,
Alaska,02,nan,nan,013,State House District 13,State Leg (Lower),-1.221236663,0.3,99.0,Andrew L. Josephson (incumbent),,Heather Gottshall,,,https://josephson4house.com/,,https://heatherforalaska.com/,,
Alaska,02,nan,nan,014,State House District 14,State Leg (Lower),17.98153034,0.1,24.0,,,,,,,,,,
Alaska,02,nan,nan,015,State House District 15,State Leg (Lower),-7.321113074,0.2,70.0,Dustin Darden,Denny Wells,Mia Costello,,,,https://dennywellsforalaska.com/,https://www.votemia.com/,,
Alaska,02,nan,nan,016,State House District 16,State Leg (Lower),11.2891325,0.2,48.0,,,,,,,,,,
Alaska,02,nan,nan,017,State House District 17,State Leg (Lower),31.0704297,0.0,7.0,,,,,,,,,,
Alaska,02,nan,nan,018,State House District 18,State Leg (Lower),-2.216370419,0.3,97.0,Cliff Groh (incumbent),,David Nelson,,,https://cliffgroh4alaska.com/,,https://nelsonforalaska.com/,,
Alaska,02,nan,nan,019,State House District 19,State Leg (Lower),23.16458061,0.1,14.0,,,,,,,,,,
Alaska,02,nan,nan,020,State House District 20,State Leg (Lower),10.15405224,0.2,54.0,,,,,,,,,,
Alaska,02,nan,nan,021,State House District 21,State Leg (Lower),1.45172181,0.3,99.0,Donna Mears (incumbent),,Aimee Sims,,,https://mearsforalaska.com/,,https://www.simsforalaska.com/,,
Alaska,02,nan,nan,022,State House District 22,State Leg (Lower),3.991242843,0.3,89.0,Ted Eischeid,,Stanley Wright (incumbent),,,https://tedforalaska.com/,,https://www.stanleywright.com/,,
Alaska,02,nan,nan,023,State House District 23,State Leg (Lower),-25.55289898,0.0,11.0,,,,,,,,,,
Alaska,02,nan,nan,024,State House District 24,State Leg (Lower),-35.74751533,0.0,5.0,,,,,,,,,,
Alaska,02,nan,nan,025,State House District 25,State Leg (Lower),-38.87230868,0.0,4.0,,,,,,,,,,
Alaska,02,nan,nan,026,State House District 26,State Leg (Lower),-54.53235525,0.0,2.0,,,,,,,,,,
Alaska,02,nan,nan,027,State House District 27,State Leg (Lower),-53.5978836,0.0,2.0,,,,,,,,,,
Alaska,02,nan,nan,028,State House District 28,State Leg (Lower),-49.72133286,0.0,2.0,,,,,,,,,,
Alaska,02,nan,nan,029,State House District 29,State Leg (Lower),-40.55463117,0.0,4.0,,,,,,,,,,
Alaska,02,nan,nan,030,State House District 30,State Leg (Lower),-40.13490725,0.0,4.0,,,,,,,,,,
Alaska,02,nan,nan,031,State House District 31,State Leg (Lower),-2.000851426,0.3,97.0,Maxine Dibert (incumbent),,Bart LeBon,,,https://www.maxinedibertforhouse.com/,,https://bartforfairbanks.com/,,
Alaska,02,nan,nan,032,State House District 32,State Leg (Lower),-27.68948655,0.0,9.0,,,,,,,,,,
Alaska,02,nan,nan,033,State House District 33,State Leg (Lower),-51.49493135,0.0,2.0,,,,,,,,,,
Alaska,02,nan,nan,034,State House District 34,State Leg (Lower),-20.12248469,0.1,19.0,,,,,,,,,,
Alaska,02,nan,nan,035,State House District 35,State Leg (Lower),7.909906063,0.2,67.0,Ashley Carrick (incumbent),,Ruben McNeill,,,https://www.ashleyforalaska.com/,,https://rubenforalaska.com/,,
Alaska,02,nan,nan,036,State House District 36,State Leg (Lower),-13.19291627,0.1,39.0,,,,,,,,,,
Alaska,02,nan,nan,037,State House District 37,State Leg (Lower),14.71953578,0.1,33.0,,,,,,,,,,
Alaska,02,nan,nan,038,State House District 38,State Leg (Lower),33.53405316,0.0,6.0,,,,,,,,,,
Alaska,02,nan,nan,039,State House District 39,State Leg (Lower),22.8960885,0.1,15.0,,,,,,,,,,
Alaska,02,nan,nan,040,State House District 40,State Leg (Lower),5.655042413,0.3,80.0,Robyn Burke,Saima Chase,Thomas Baker (incumbent),,,https://www.robynburkeak.com/,https://m.facebook.com/people/Saima-Chase-for-Representative-HD-40/61561084002531/,,,
Arizona,04,nan,nan,001,State House District 1,State Leg (Lower),-29.13718545,0.0,9.0,,,,,,,,,,
Arizona,04,nan,nan,002,State House District 2,State Leg (Lower),-5.055739946,0.3,86.0,Stephanie Simacek,,Justin Wilmeth (incumbent),Ari Bradshaw,,https://www.simacekforaz.com/,,https://electiondeniers.org/,https://ari.republican/,
Arizona,04,nan,nan,003,State House District 3,State Leg (Lower),-26.16034075,0.0,11.0,,,,,,,,,,
Arizona,04,nan,nan,004,State House District 4,State Leg (Lower),-4.220855191,0.3,90.0,Kelli Butler,Karen Gresham,Matt Gress (incumbent),Pamela Carter,,https://www.kelliforaz.com/,https://www.karenforaz.com/,https://www.mattgress.com/,https://pamelacarter.com/,
Arizona,04,nan,nan,005,State House District 5,State Leg (Lower),36.33773146,0.0,5.0,,,,,,,,,,
Arizona,04,nan,nan,006,State House District 6,State Leg (Lower),31.45778924,0.0,7.0,,,,,,,,,,
Arizona,04,nan,nan,007,State House District 7,State Leg (Lower),-24.57647825,0.0,13.0,Kevin Chiquete,Nancy Hartl,David Marshall (incumbent),Walter Blackman,,https://www.kevinchiqueteforaz.com/,https://nancy.hartl4ld7.com/,https://electiondeniers.org/,https://electiondeniers.org/,
Arizona,04,nan,nan,008,State House District 8,State Leg (Lower),25.64731005,0.0,12.0,,,,,,,,,,
Arizona,04,nan,nan,009,State House District 9,State Leg (Lower),1.797569333,0.3,100.0,Lorena Austin (incumbent),Seth Blattman (incumbent),Kylie Barber,Mary Ann Mendoza,,https://www.lorenaaustin.com/,https://sethblattman.com/,https://kyliebarber.com/,https://electiondeniers.org/,
Arizona,04,nan,nan,010,State House District 10,State Leg (Lower),-23.75942307,0.0,14.0,,,,,,,,,,
Arizona,04,nan,nan,011,State House District 11,State Leg (Lower),51.59374947,0.0,2.0,,,,,,,,,,
Arizona,04,nan,nan,012,State House District 12,State Leg (Lower),13.74016131,0.1,38.0,,,,,,,,,,
Arizona,04,nan,nan,013,State House District 13,State Leg (Lower),-2.212376397,0.3,99.0,Nicholas Gonzales,Brandy Reese,Julie Willoughby (incumbent),Jeff Weninger,,https://www.gonzalesforaz.com/,https://www.reeseforaz.com/,https://juliewilloughby.org/,https://www.jeffweninger.com/,
Arizona,04,nan,nan,014,State House District 14,State Leg (Lower),-18.59882338,0.1,23.0,,,,,,,,,,
Arizona,04,nan,nan,015,State House District 15,State Leg (Lower),-28.20770752,0.0,9.0,,,,,,,,,,
Arizona,04,nan,nan,016,State House District 16,State Leg (Lower),-5.650044758,0.3,82.0,Keith Seaman (incumbent),,Teresa Martinez (incumbent),Chris Lopez,,https://www.seamanforarizona.com/,,https://electiondeniers.org/,https://www.lopezforaz.com/,
Arizona,04,nan,nan,017,State House District 17,State Leg (Lower),-9.143737199,0.209,61.0,Kevin Volk,,Rachel Jones (incumbent),Cory McGarr (incumbent),,https://www.kevinvolkaz.com/,,https://electiondeniers.org/,https://electiondeniers.org/,
Arizona,04,nan,nan,018,State House District 18,State Leg (Lower),18.98137291,0.0754,22.0,,,,,,,,,,
Arizona,04,nan,nan,019,State House District 19,State Leg (Lower),-23.98776994,0.04631272055,13.0,,,,,,,,,,
Arizona,04,nan,nan,020,State House District 20,State Leg (Lower),50.43312658,0.00695893039,2.0,,,,,,,,,,
Arizona,04,nan,nan,021,State House District 21,State Leg (Lower),28.11957037,0.0321,9.0,,,,,,,,,,
Arizona,04,nan,nan,022,State House District 22,State Leg (Lower),35.01707807,0.01856655337,5.0,,,,,,,,,,
Arizona,04,nan,nan,023,State House District 23,State Leg (Lower),15.57728433,0.1073758629,31.0,Mariana Sandoval (incumbent),Matias Rosales,Michele Pena (incumbent),,,https://www.sandovalforaz.com/,https://www.matiasrosales.com/,https://michelepena.com/,,
Arizona,04,nan,nan,024,State House District 24,State Leg (Lower),31.54482588,0.0242050894,7.0,,,,,,,,,,
Arizona,04,nan,nan,025,State House District 25,State Leg (Lower),-26.36111498,0.03735357176,11.0,,,,,,,,,,
Arizona,04,nan,nan,026,State House District 26,State Leg (Lower),37.45895092,0.0155786354,5.0,,,,,,,,,,
Arizona,04,nan,nan,027,State House District 27,State Leg (Lower),-10.23918619,0.18788412,54.0,Deborah Howard,,Lisa Fink,Tony Rivero,,https://www.deborahhowardaz.com/,,https://www.lisafinkaz.com/,https://www.tonyriveroforhouse.com/,
Arizona,04,nan,nan,028,State House District 28,State Leg (Lower),-26.48140029,0.03695911457,11.0,,,,,,,,,,
Arizona,04,nan,nan,029,State House District 29,State Leg (Lower),-14.44646058,0.1210299037,35.0,Tanairi Ochoa-Martinez,Thomas Tzitzura,Steve Montenegro (incumbent),James Taylor,,https://www.votetanairi.com/,https://www.facebook.com/tzitzuraforaz,https://electiondeniers.org/,,
Arizona,04,nan,nan,030,State House District 30,State Leg (Lower),-50.56426602,0.006908839554,2.0,,,,,,,,,,
Kansas,20,nan,nan,001,State House District 1,State Leg (Lower),-45.10283038,0.009468864169,3.0,,,,,,,,,,
Kansas,20,nan,nan,002,State House District 2,State Leg (Lower),-31.49367089,0.02430339162,7.0,,,,,,,,,,
Kansas,20,nan,nan,003,State House District 3,State Leg (Lower),-10.51384385,0.1827350106,52.0,,,,,,,,,,
Kansas,20,nan,nan,004,State House District 4,State Leg (Lower),-51.1560394,0.006688573749,2.0,,,,,,,,,,
Kansas,20,nan,nan,005,State House District 5,State Leg (Lower),-22.43235652,0.05362556359,15.0,,,,,,,,,,
Kansas,20,nan,nan,006,State House District 6,State Leg (Lower),-36.42870962,0.01675790549,5.0,,,,,,,,,,
Kansas,20,nan,nan,007,State House District 7,State Leg (Lower),-30.5163772,0.02628224914,7.0,,,,,,,,,,
Kansas,20,nan,nan,008,State House District 8,State Leg (Lower),-13.87751621,0.1285578765,36.0,,,,,,,,,,
Kansas,20,nan,nan,009,State House District 9,State Leg (Lower),-43.97067933,0.01014811222,3.0,,,,,,,,,,
Kansas,20,nan,nan,010,State House District 10,State Leg (Lower),54.9857237,0.005464150756,2.0,,,,,,,,,,
Kansas,20,nan,nan,011,State House District 11,State Leg (Lower),-44.28742515,0.009951865662,3.0,,,,,,,,,,
Kansas,20,nan,nan,012,State House District 12,State Leg (Lower),-61.61646892,0.003957908296,1.0,,,,,,,,,,
Kansas,20,nan,nan,013,State House District 13,State Leg (Lower),-53.4093308,0.005929313434,2.0,,,,,,,,,,
Kansas,20,nan,nan,014,State House District 14,State Leg (Lower),-5.588822355,0.2843936055,81.0,Dennis Miller (incumbent),,Charlotte Esau,,,https://www.dennismillerforkansas.com/,,https://charlotteesau.com/,,
Kansas,20,nan,nan,015,State House District 15,State Leg (Lower),-5.549206349,0.2852095744,81.0,Allison Hougland (incumbent),,Lauren Bohi,,,https://www.allisonforkansas.com/,,https://laurenforolathe.com/,,
Kansas,20,nan,nan,016,State House District 16,State Leg (Lower),1.259659969,0.3493872457,99.0,,,,,,,,,,
Kansas,20,nan,nan,017,State House District 17,State Leg (Lower),5.074266757,0.2948245229,84.0,,,,,,,,,,
Kansas,20,nan,nan,018,State House District 18,State Leg (Lower),6.431263313,0.2666852255,76.0,Cindy Neighbor (incumbent),,Robert Whitman,,,https://www.cindyneighbor.com/,,https://robertforkansashouse.com/,,
Kansas,20,nan,nan,019,State House District 19,State Leg (Lower),17.70877046,0.08591357249,24.0,,,,,,,,,,
Kansas,20,nan,nan,020,State House District 20,State Leg (Lower),3.578270389,0.3221293242,91.0,Mari-Lynn Poskin (incumbent),,Jerry Charlton,,,https://www.poskin4ks.com/,,https://www.jerrycharltonks.com/,,
Kansas,20,nan,nan,021,State House District 21,State Leg (Lower),26.22783332,0.0377967513,11.0,,,,,,,,,,
Kansas,20,nan,nan,022,State House District 22,State Leg (Lower),19.57801322,0.07098451135,20.0,,,,,,,,,,
Kansas,20,nan,nan,023,State House District 23,State Leg (Lower),16.26592585,0.09986395304,28.0,,,,,,,,,,
Kansas,20,nan,nan,024,State House District 24,State Leg (Lower),26.35909763,0.03736023165,11.0,,,,,,,,,,
Kansas,20,nan,nan,025,State House District 25,State Leg (Lower),27.16635694,0.03480872678,10.0,,,,,,,,,,
Kansas,20,nan,nan,026,State House District 26,State Leg (Lower),-15.86489253,0.1041675242,30.0,,,,,,,,,,
Kansas,20,nan,nan,027,State House District 27,State Leg (Lower),-16.98506983,0.09262175802,26.0,,,,,,,,,,
Kansas,20,nan,nan,028,State House District 28,State Leg (Lower),-4.784091855,0.3005185803,85.0,Ace Allen,,Carl Turner (incumbent),,,https://www.aceforkansas.com/,,https://carlturnerforkansas.com/,,
Kansas,20,nan,nan,029,State House District 29,State Leg (Lower),11.56445557,0.1640190079,46.0,,,,,,,,,,
Kansas,20,nan,nan,030,State House District 30,State Leg (Lower),-3.24801241,0.3273168904,93.0,Betsey Lasister,,Laura Williams (incumbent),,,https://betseyforkansas.com/,,https://www.laurawilliamsforkansas.com/,,
Kansas,20,nan,nan,031,State House District 31,State Leg (Lower),42.5164348,0.01111652105,3.0,,,,,,,,,,
Kansas,20,nan,nan,032,State House District 32,State Leg (Lower),48.92517007,0.007570548616,2.0,,,,,,,,,,
Kansas,20,nan,nan,033,State House District 33,State Leg (Lower),1.014988788,0.3508391383,99.0,Eli Woody IV,,Mike Thompson (incumbent),,,https://www.woody4kansas.com/,,https://thompsonforkansashouse.com/,,
Kansas,20,nan,nan,034,State House District 34,State Leg (Lower),67.12919557,0.003097252332,1.0,,,,,,,,,,
Kansas,20,nan,nan,035,State House District 35,State Leg (Lower),64.20988778,0.003518323394,1.0,,,,,,,,,,
Kansas,20,nan,nan,036,State House District 36,State Leg (Lower),19.63643433,0.07056835912,20.0,,,,,,,,,,
Kansas,20,nan,nan,037,State House District 37,State Leg (Lower),26.40880776,0.0371965501,11.0,,,,,,,,,,
Kansas,20,nan,nan,038,State House District 38,State Leg (Lower),-23.06127863,0.05051162022,14.0,,,,,,,,,,
Kansas,20,nan,nan,039,State House District 39,State Leg (Lower),-6.781846313,0.259187894,73.0,Vanessa Vaughn West,,Angela Stiens (incumbent),,,https://www.vanessaforkansas.com/,,https://angelastiens.com/,,
Kansas,20,nan,nan,040,State House District 40,State Leg (Lower),-10.93478513,0.175045908,50.0,,,,,,,,,,
Kansas,20,nan,nan,041,State House District 41,State Leg (Lower),-11.65825648,0.1624261732,46.0,,,,,,,,,,
Kansas,20,nan,nan,042,State House District 42,State Leg (Lower),-16.99872411,0.09248994099,26.0,,,,,,,,,,
Kansas,20,nan,nan,043,State House District 43,State Leg (Lower),-19.22077922,0.073591885,21.0,,,,,,,,,,
Kansas,20,nan,nan,044,State House District 44,State Leg (Lower),45.15262515,0.009440365747,3.0,,,,,,,,,,
Kansas,20,nan,nan,045,State House District 45,State Leg (Lower),34.74978796,0.01893674315,5.0,,,,,,,,,,
