state,congress,s_upper,s_lower,state_name,race_type,election_name,voter_power
02,nan,00A,nan,Alaska,State Leg (Upper),State Senate District A,0.0
02,nan,00B,nan,Alaska,State Leg (Upper),State Senate District B,14.0
02,nan,00C,nan,Alaska,State Leg (Upper),State Senate District C,0.0
02,nan,00D,nan,Alaska,State Leg (Upper),State Senate District D,3.0
02,nan,00E,nan,Alaska,State Leg (Upper),State Senate District E,0.0
02,nan,00F,nan,Alaska,State Leg (Upper),State Senate District F,78.0
02,nan,00G,nan,Alaska,State Leg (Upper),State Senate District G,0.0
02,nan,00H,nan,Alaska,State Leg (Upper),State Senate District H,100.0
02,nan,00I,nan,Alaska,State Leg (Upper),State Senate District I,0.0
02,nan,00J,nan,Alaska,State Leg (Upper),State Senate District J,31.0
02,nan,00K,nan,Alaska,State Leg (Upper),State Senate District K,0.0
02,nan,00L,nan,Alaska,State Leg (Upper),State Senate District L,8.0
02,nan,00M,nan,Alaska,State Leg (Upper),State Senate District M,0.0
02,nan,00N,nan,Alaska,State Leg (Upper),State Senate District N,2.0
02,nan,00O,nan,Alaska,State Leg (Upper),State Senate District O,0.0
02,nan,00P,nan,Alaska,State Leg (Upper),State Senate District P,43.0
02,nan,00Q,nan,Alaska,State Leg (Upper),State Senate District Q,0.0
02,nan,00R,nan,Alaska,State Leg (Upper),State Senate District R,98.0
02,nan,00S,nan,Alaska,State Leg (Upper),State Senate District S,0.0
02,nan,00T,nan,Alaska,State Leg (Upper),State Senate District T,33.0
04,nan,001,nan,Arizona,State Leg (Upper),State Senate District 1,9.0
04,nan,002,nan,Arizona,State Leg (Upper),State Senate District 2,86.0
04,nan,003,nan,Arizona,State Leg (Upper),State Senate District 3,11.0
04,nan,004,nan,Arizona,State Leg (Upper),State Senate District 4,90.0
04,nan,005,nan,Arizona,State Leg (Upper),State Senate District 5,5.0
04,nan,006,nan,Arizona,State Leg (Upper),State Senate District 6,7.0
04,nan,007,nan,Arizona,State Leg (Upper),State Senate District 7,13.0
04,nan,008,nan,Arizona,State Leg (Upper),State Senate District 8,12.0
04,nan,009,nan,Arizona,State Leg (Upper),State Senate District 9,100.0
04,nan,010,nan,Arizona,State Leg (Upper),State Senate District 10,14.0
04,nan,011,nan,Arizona,State Leg (Upper),State Senate District 11,2.0
04,nan,012,nan,Arizona,State Leg (Upper),State Senate District 12,38.0
