state_name,state,congress,s_lower,s_upper,election_name,race_type,voter_power,D_running,R_running,D_link,R_link
North Carolina,37,,,,,Attorney General,N/A,Jeff Jackson,Dan Bishop,https://www.jeffjacksonnc.com/,https://electiondeniers.org/
Indiana,18,,,,,Attorney General,N/A,Destiny Scott Wells,Todd Rokita (incumbent),https://www.wellsforindiana.com/,https://electiondeniers.org/
Missouri,29,,,,,Attorney General,N/A,Elad Gross,Andrew Bailey (incumbent),https://www.eladgross.org/,https://electiondeniers.org/
Montana,30,,,,,Attorney General,N/A,Ben Alke,Austin Knudsen (incumbent),https://www.alkeformt.com/,https://austinformontana.com/
Utah,49,,,,,Attorney General,N/A,Rudy Bautista,Derek Brown,,https://www.derekforutah.com/
Vermont,50,,,,,Attorney General,N/A,Charity Clark (incumbent),Ture Nelson,https://www.charityforvermont.com/,
Washington,53,,,,,Attorney General,N/A,Nick Brown,Pete Serrano,https://nickbrownforag.com/,https://serranoforag.com/
West Virginia,54,,,,,Attorney General,N/A,Teresa Toriseva,John B. McCuskey,https://www.teresaforattorneygeneral.com/,https://mccuskeyforwv.com/
Oregon,41,,,,,Attorney General,N/A,Dan Rayfield,Will Lathrop,https://danrayfield.com/,https://www.willlathrop.com/
Pennsylvania,42,,,,,Attorney General,N/A,Eugene DePasquale,Dave Sunday,https://www.depasqualeforag.com/,https://www.davesundayforag.com/
