state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power,cook_rating,Democracy #9277DE,Presidential high voter power #F5928D,Senate/House high voter power#B4CDE3,Pivotal state legislature #D19E9B,Abortion #F768A0,Other ballot questions #13DDB7,get involved link,supporting organization link,D_running,R_running
Alabama,01,,,,Presidential,Presidential,2,solid-R,,,,,,,https://ballotpedia.org/Alaska_Repeal_Top-Four_Ranked-Choice_Voting_Initiative_(2024),https://www.alaskansforbetterelections.com/,,
Alaska,02,,,,Presidential,Presidential,25,solid-R,x,,,x,,x,https://ballotpedia.org/Alaska_Minimum_Wage_Increase_and_Paid_Sick_Leave_Initiative_(2024),https://betterjobsforalaska.com/,,
Arizona,04,,,,Presidential,Presidential,62,toss-up,x,x,x,,x,x,"https://ballotpedia.org/Arizona_Proposition_135,_Emergency_Declarations_Amendment_(2024)",,,
Arkansas,05,,,,Presidential,Presidential,4,solid-R,,,,,,,"https://ballotpedia.org/Arizona_Proposition_137,_End_Term_Limits_and_Retention_Elections_for_Supreme_Court_Justices_and_Superior_Court_Judges_Amendment_(2024)",,,
California,06,,,,Presidential,Presidential,1,solid-D,,,,,,x,"https://ballotpedia.org/Arizona_Proposition_314,_Immigration_and_Border_Law_Enforcement_Measure_(2024)",,,
Colorado,08,,,,Presidential,Presidential,4,solid-D,x,,,,x,,"https://ballotpedia.org/Arizona_Proposition_136,_Legal_Challenges_to_Constitutionality_of_Initiatives_Amendment_(2024)",,,
Connecticut,09,,,,Presidential,Presidential,2,solid-D,x,,,,,x,"https://ballotpedia.org/Arizona_Proposition_133,_Require_Partisan_Primaries_and_Prohibit_Primaries_Where_Candidates_Compete_Regardless_of_Party_Affiliation_Amendment_(2024)",,,
Delaware,10,,,,Presidential,Presidential,4,solid-D,,,,,,,"https://ballotpedia.org/Arizona_Proposition_134,_Signature_Distribution_Requirement_for_Initiatives_Amendment_(2024)",,,
District of Columbia,11,,,,Presidential,Presidential,0,solid-D,x,,,,,x,"https://ballotpedia.org/Arizona_Proposition_138,_Wages_for_Tipped_Workers_Amendment_(2024)",,,
Florida,12,,,,Presidential,Presidential,23,likely-R,,,x,,x,x,"https://ballotpedia.org/Arizona_Proposition_315,_Legislative_Ratification_of_State_Agency_Rules_that_Increase_Regulatory_Costs_Measure_(2024)",,,
Georgia,13,,,,Presidential,Presidential,45,toss-up,,x,,,,x,https://ballotpedia.org/Arizona_Right_to_Abortion_Initiative_(2024),https://www.arizonaforabortionaccess.org/,,
Hawaii,15,,,,Presidential,Presidential,4,solid-D,x,,,,,x,"https://ballotpedia.org/Arizona_Proposition_140,_Single_Primary_for_All_Candidates_and_Possible_RCV_General_Election_Initiative_(2024)",https://www.makeelectionsfairaz.com/,,
Idaho,16,,,,Presidential,Presidential,1,solid-R,x,,,,,x,"https://ballotpedia.org/California_Proposition_32,_$18_Minimum_Wage_Initiative_(2024)",,,
Illinois,17,,,,Presidential,Presidential,2,solid-D,,,,,,x,"https://ballotpedia.org/California_Proposition_3,_Right_to_Marry_and_Repeal_Proposition_8_Amendment_(2024)",http://www.freedomtomarry.org/,,
Indiana,18,,,,Presidential,Presidential,2,solid-R,,,,,,x,"https://ballotpedia.org/California_Proposition_5,_Lower_Supermajority_Requirement_to_55%25_for_Local_Bond_Measures_to_Fund_Housing_and_Public_Infrastructure_Amendment_(2024)",,,
Iowa,19,,,,Presidential,Presidential,26,solid-R,x,,,,,x,https://ballotpedia.org/Colorado_Independent_Judicial_Discipline_Adjudicative_Board_Amendment_(2024),,,
Kansas,20,,,,Presidential,Presidential,4,solid-R,,,,x,,,https://ballotpedia.org/Colorado_Remove_Constitutional_Same-Sex_Marriage_Ban_Amendment_(2024),https://www.freedomtomarryco.com/,,
Kentucky,21,,,,Presidential,Presidential,1,solid-R,,,,,,,https://ballotpedia.org/Colorado_Right_to_Abortion_and_Health_Insurance_Coverage_Initiative_(2024),https://coloradansforreproductivefreedom.com/,,
Louisiana,22,,,,Presidential,Presidential,2,solid-R,,,,,,,"https://ballotpedia.org/Colorado_Sales_Tax_on_Firearms_Dealers,_Manufacturers,_and_Ammunition_Vendors_Measure_(2024)",,,
Maine,23,,,,Presidential,Presidential,7,likely-D,,,,,,x,https://ballotpedia.org/Colorado_Top-Four_Ranked-Choice_Voting_Initiative_(2024),https://www.rankedvote.co/locations/colorado/final-four-open-all-candidate-primaries-ranked-choice-voting-in-colorado,,
Maine,23,02,,,Congressional District 2,Presidential,50,likely-R,,x,,,,x,https://ballotpedia.org/Connecticut_No-Excuse_Absentee_Voting_Amendment_(2024),,,
Maine,23,01,,,Congressional District 1,Presidential,1,solid-D,,,,,,x,"https://ballotpedia.org/Washington,_D.C.,_Initiative_83,_Ranked-Choice_Voting_Initiative_(November_2024)",https://makeallvotescountdc.org/,,
Maryland,24,,,,Presidential,Presidential,1,solid-D,,,,,x,,"https://ballotpedia.org/Florida_Amendment_1,_Partisan_School_Board_Elections_Amendment_(2024)",,,
Massachusetts,25,,,,Presidential,Presidential,1,solid-D,,,,,,x,"https://ballotpedia.org/Florida_Amendment_3,_Marijuana_Legalization_Initiative_(2024)",https://smartandsafeflorida.com/,,
Michigan,26,,,,Presidential,Presidential,65,toss-up,,x,x,x,,,"https://ballotpedia.org/Florida_Amendment_4,_Right_to_Abortion_Initiative_(2024)",https://floridiansprotectingfreedom.com/,,
Minnesota,27,,,,Presidential,Presidential,13,likely-D,,,,x,,,"https://ballotpedia.org/Florida_Amendment_6,_Repeal_of_Public_Financing_for_Statewide_Campaigns_Amendment_(2024)",,,
Mississippi,28,,,,Presidential,Presidential,3,solid-R,,,,,,,https://ballotpedia.org/Georgia_Creation_of_Tax_Court_Amendment_(2024),,,
Missouri,29,,,,Presidential,Presidential,5,solid-R,x,,,,x,x,https://ballotpedia.org/Hawaii_Judicial_Appointments_and_Confirmations_Amendment_(2024),,,
Montana,30,,,,Presidential,Presidential,6,solid-R,x,,x,,x,,https://ballotpedia.org/Hawaii_Remove_Legislature_Authority_to_Limit_Marriage_to_Opposite-Sex_Couples_Amendment_(2024),,,
Nebraska,31,01,,,Congressional District 1,Presidential,3,solid-R,,,x,x,x,x,https://ballotpedia.org/Idaho_Top-Four_Ranked-Choice_Voting_Initiative_(2024),https://yesforopenprimaries.com/,,
Nebraska,31,02,,,Congressional District 2,Presidential,23,toss-up,,,x,x,x,x,https://ballotpedia.org/Illinois_Assisted_Reproductive_Healthcare_Advisory_Question_(2024),,,
Nebraska,31,03,,,Congressional District 3,Presidential,0,solid-R,,,x,x,x,x,https://ballotpedia.org/Illinois_Penalties_for_Candidate_Interference_with_Election_Worker%27s_Duties_Advisory_Question_(2024),,,
Nebraska,31,,,,Presidential,Presidential,1,solid-R,,,x,x,x,x,https://ballotpedia.org/Indiana_Remove_Superintendent_of_Public_Instruction_from_Gubernatorial_Line_of_Succession_Amendment_(2024),,,
Nevada,32,,,,Presidential,Presidential,100,toss-up,x,x,x,x,x,x,https://ballotpedia.org/Iowa_Require_Citizenship_to_Vote_in_Elections_and_Allow_17-Year-Olds_to_Vote_in_Primaries_Amendment_(2024),,,
New Hampshire,33,,,,Presidential,Presidential,12,likely-D,x,x,,x,,x,https://ballotpedia.org/Iowa_Gubernatorial_Succession_Amendment_(2024),,,
New Jersey,34,,,,Presidential,Presidential,3,solid-D,,,,,,,https://ballotpedia.org/Maine_Limit_Contributions_to_Super_PACs_Initiative_(2024),https://www.citizenstoendsuperpacs.org/,,
New Mexico,35,,,,Presidential,Presidential,21,likely-D,x,x,,,,x,https://ballotpedia.org/Maryland_Right_to_Reproductive_Freedom_Amendment_(2024),https://mdreprofreedom.com/,,
New York,36,,,,Presidential,Presidential,4,solid-D,,,,,x,,https://ballotpedia.org/Massachusetts_Authorization_of_State_Auditor_to_Audit_General_Court_Initiative_(2024),,,
North Carolina,37,,,,Presidential,Presidential,68,toss-up,,x,,,,x,https://ballotpedia.org/Massachusetts_Minimum_Wage_for_Tipped_Employees_Initiative_(2024),https://www.fairwageplustipsma.com/,,
North Dakota,38,,,,Presidential,Presidential,2,solid-R,x,,,,,x,"https://ballotpedia.org/Massachusetts_Question_4,_Regulated_Access_to_Psychedelic_Substances_Initiative_(2024)",https://maformentalhealth.org/,,
Ohio,39,,,,Presidential,Presidential,6,solid-R,x,,,,,x,https://ballotpedia.org/Missouri_Require_Citizenship_to_Vote_and_Prohibit_Ranked-Choice_Voting_Amendment_(2024),https://www.betterballotkc.org/,,
Oklahoma,40,,,,Presidential,Presidential,3,solid-R,,,,,,x,"https://ballotpedia.org/Missouri_Proposition_A,_Minimum_Wage_and_Earned_Paid_Sick_Time_Initiative_(2024)",https://mohealthyfamilies.org/,,
Oregon,41,,,,Presidential,Presidential,3,solid-D,x,,,,,,"https://ballotpedia.org/Missouri_Amendment_3,_Right_to_Reproductive_Freedom_Initiative_(2024)",https://moconstitutionalfreedom.org/,,
Pennsylvania,42,,,,Presidential,Presidential,64,toss-up,,x,,x,,x,https://ballotpedia.org/Montana_Top-Four_Primary_Initiative_(2024),https://yeson126mt.com/,,
Rhode Island,44,,,,Presidential,Presidential,4,solid-D,,,,,,,https://ballotpedia.org/Montana_Majority_Vote_Required_to_Win_Elections_Initiative_(2024),https://yeson126mt.com/,,
South Carolina,45,,,,Presidential,Presidential,5,solid-R,,,,,,,"https://ballotpedia.org/Montana_CI-128,_Right_to_Abortion_Initiative_(2024)",https://mtreprorights.org/,,
South Dakota,46,,,,Presidential,Presidential,2,solid-R,x,,,,x,x,https://ballotpedia.org/Nebraska_Paid_Sick_Leave_Initiative_(2024),,,
Tennessee,47,,,,Presidential,Presidential,1,solid-R,,,,,,,https://ballotpedia.org/Nebraska_Right_to_Abortion_Initiative_(2024),,,
Texas,48,,,,Presidential,Presidential,26,likely-R,,,,,,,"https://ballotpedia.org/Nevada_Question_1,_Remove_Constitutional_Status_of_Board_of_Regents_Amendment_(2024)",https://nshe.nevada.edu/,,
Utah,49,,,,Presidential,Presidential,2,solid-R,x,,,,,,"https://ballotpedia.org/Nevada_Question_2,_Revising_Language_Related_to_Public_Entities_for_Individuals_with_Mental_Illness,_Blindness,_or_Deafness_Amendment_(2024)",,,
Vermont,50,,,,Presidential,Presidential,1,solid-D,,,,,,x,"https://ballotpedia.org/Nevada_Question_3,_Top-Five_Ranked-Choice_Voting_Initiative_(2024)",https://yeson3nv.com/,,
Virginia,51,,,,Presidential,Presidential,8,likely-D,,x,,,,,https://ballotpedia.org/Nevada_Right_to_Abortion_Initiative_(2024),,,
Washington,53,,,,Presidential,Presidential,2,solid-D,,,,,,,https://ballotpedia.org/Nevada_Voter_Identification_Initiative_(2024),https://repairthevote.us/,,
West Virginia,54,,,,Presidential,Presidential,1,solid-R,,,,,,,https://ballotpedia.org/New_Hampshire_Increase_Mandatory_Judicial_Retirement_Age_Amendment_(2024),,,
Wisconsin,55,,,,Presidential,Presidential,61,toss-up,,x,,x,,,https://ballotpedia.org/New_Mexico_Judicial_Nominating_Commission_Amendment_(2024),,,
Wyoming,56,,,,Presidential,Presidential,1,solid-R,,,,,,,https://ballotpedia.org/New_York_Equal_Protection_of_Law_Amendment_(2024),,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/North_Dakota_Constitutional_Measure_1,_Language_Describing_State_Institutions_Amendment_(2024)",,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/North_Dakota_Constitutional_Measure_2,_Single-Subject_Requirement_for_Initiatives_and_Require_Constitutional_Initiatives_to_be_Passed_Twice_Amendment_(2024)",,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/North_Dakota_Initiated_Measure_5,_Marijuana_Legalization_Initiative_(2024)",https://neweconomicfrontier.com/,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/Ohio_Issue_1,_Establish_the_Citizens_Redistricting_Commission_Initiative_(2024)",https://www.electoral-lab.org/ohio-report,,
,,,,,,,,,,,,,,,https://ballotpedia.org/Oklahoma_Minimum_Wage_Increase_Initiative_(2024),,,
,,,,,,,,,,,,,,,https://ballotpedia.org/Oregon_Impeachment_of_Elected_State_Executives_Amendment_(2024),,,
,,,,,,,,,,,,,,,https://ballotpedia.org/Oregon_Ranked-Choice_Voting_for_Federal_and_State_Elections_Measure_(2024),https://www.oregonrcv.org/,,
,,,,,,,,,,,,,,,https://ballotpedia.org/Rhode_Island_Constitutional_Convention_Question_(2024),,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/South_Dakota_Constitutional_Amendment_E,_Gender-Neutral_Constitutional_Language_Amendment_(2024)",,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/South_Dakota_Constitutional_Amendment_G,_Right_to_Abortion_Initiative_(2024)",https://www.dakotans4health.com/,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/South_Dakota_Constitutional_Amendment_H,_Top-Two_Primary_Elections_Initiative_(2024)",https://www.sdopenprimaries.org/,,
,,,,,,,,,,,,,,,"https://ballotpedia.org/South_Dakota_Initiated_Measure_29,_Marijuana_Legalization_Initiative_(2024)",https://sdbml.org/,,
,,,,,,,,,,,,,,,https://ballotpedia.org/Utah_Elections_of_County_Sheriffs_Amendment_(2024),,,
,,,,,,,,,,,,,,,https://ballotpedia.org/Utah_Legislative_Alteration_of_Ballot_Initiatives_and_Foreign_Contributions_Ban_Amendment_(2024),,,
