STATEFP,NAMELSAD,COMPETITIVE,state,Incumbent affiliation,Runners_D,Runners_R,Leans,Competitiveness
36,01,1,NY,Republican,"Nancy Goroff, Jim Gaughran",Nick LaLota,NA,10
42,10,1,PA,Republican,Janelle Stelson,Scott Perry,NA,15
01,02,1,AL,NA,Shomari Figures,Caroleene Dobson,NA,20
04,01,1,AZ,Republican,"Conor O'Callaghan, Andrei Cherny, Amish Shah",David Schweiker,NA,13
53,03,1,WA,Democratic,Marie Gluesenkamp Perez,Joe Kent,NA,23
55,08,1,WI,NA,Kristin Lyerly ,"André Jacque, Roger Roth, TOny Wied",NA,8
06,27,1,CA,Republican,George Whitesides,Mike Garcia,Democratic,7
06,13,1,CA,Republican,Adam Gray,John Duarte,Democratic,4
06,45,1,CA,Republican,Derek Tran,Michelle Steel,Democratic,5
06,40,1,CA,Republican,Joe Kerr,Young Kim,Democratic,3
36,22,1,NY,Republican,NA,Brandon Williams,Democratic,2
36,04,1,NY,Republican,NA,Anthony D’Esposito,Democratic,1
36,17,1,NY,Republican,NA,Mike Lawler,Democratic,18
36,19,1,NY,Republican,NA,Marc Molinaro,Democratic,24
34,07,1,NJ,Republican,Susan Altman,Tom Kean,Democratic,20
41,05,1,OR,Republican,NA,Lori Chavez-ReRemer,Democratic,16
04,06,1,AZ,Republican,NA,Juan Ciscomani,NA,23
31,02,1,NE,Republican,Tony Vargas,NA,NA,12
42,01,1,PA,Republican,Ashley Ehasz,Brian Fitzpatrick,NA,16
51,02,1,VA,Republican,NA,Jen Kiggans,NA,18
39,09,1,OH,Democratic,Marcy Kaptur,Derek Merrin,NA,19
23,02,1,ME,Democratic,Jared Golden,NA,NA,14
42,08,1,PA,Democratic,Matt Cartwright,Rob Bresnahan Jr. ,NA,20
